param.name,param.min,param.max,sig.level,calibrate,old.winner
cropRootDiameter,0.002,0.1,0.001,FALSE,0.004
cropRootConductivity,0.00000001,0.000001,0.00000002,FALSE,0.0000003
cropAlpha,0.05,0.3,0.01,TRUE,0.3
cropMinTranspirationPotential,-100000,-30000,5000,TRUE,-30000
cropBufferPotential,0.2,2,0.1,FALSE,0.25
cropLongitudinalResistantFactor,100,3000,100,FALSE,2300
cropHarmonicWeightedMean,0.1,2,0.1,TRUE,1
